uID,Season,Grid,Species,ID,Capture_type,Date_capture,Station,Trap_type,SVL_mm
1,1,WP2,wm,S1-WP2-1,Marked,11/11/2017,b3,Onduline,58
2,1,WP2,wm,S1-WP2-2,Marked,11/11/2017,b5,Onduline,
3,1,WP2,wm,S1-WP2-3,Marked,11/11/2017,b3,Onduline,62
4,1,WP2,wm,S1-WP2-4,Marked,11/11/2017,c1,Onduline,67
5,1,WP2,wm,S1-WP2-5,Marked,11/11/2017,e5,Onduline,53
6,1,WP2,wm,S1-WP2-5,Marked,13/11/2017,d6,Onduline,
7,1,WP2,wm,S1-WP2-5,Marked,16/11/2017,d6,Onduline,
8,1,WP2,wm,S1-WP2-6,Marked,11/11/2017,e3,Onduline,58
9,1,WP2,wm,S1-WP2-14,Marked,11/11/2017,e3,Onduline,61
10,1,WP2,wm,S1-WP2-7,Marked,11/11/2017,e3,Onduline,58
11,1,WP2,wm,S1-WP2-15,Marked,11/11/2017,e3,Onduline,
12,1,WP2,wm,S1-WP2-13,Marked,11/11/2017,e3,Onduline,62
13,1,WP2,wm,S1-WP2-13,Marked,13/11/2017,d6,Onduline,
14,1,WP2,op,WP2-0022,Marked,12/11/2017,b1,Pitfall,62
15,1,WP2,op,WP2-0023,Marked,12/11/2017,c6,Pitfall,58
16,1,WP2,op,WP2-0023,Marked,13/11/2017,d6,Pitfall,
17,1,WP2,op,WP2-0024,Marked,12/11/2017,e4,Pitfall,59
18,1,WP2,op,WP2-0004,Marked,12/11/2017,f3,Pitfall,63
19,1,WP2,op,WP2-0025,Marked,12/11/2017,e5,Pitfall,47
20,1,WP2,wm,S1-WP2-9,Marked,13/11/2017,a3,Onduline,61
21,1,WP2,wm,S1-WP2-10,Marked,13/11/2017,d2,Onduline,58
22,1,WP2,wm,S1-WP2-11,Marked,13/11/2017,d4,Onduline,65
23,1,WP2,wm,S1-WP2-12,Marked,13/11/2017,d6,Onduline,63
24,1,WP2,wm,S1-WP2-12,Marked,16/11/2017,d5,Onduline,
25,1,WP2,op,WP2-0044,Marked,18/11/2017,a6,Onduline,61
26,1,WP2,op,WP2-0044,Marked,15/11/2017,a6,Pitfall,61
27,1,WP2,op,WP2-0034,Marked,15/11/2017,a2,Pitfall,54
28,1,WP2,op,WP2-0035,Marked,15/11/2017,b1,Pitfall,62
29,1,WP2,op,WP2-0035,Marked,16/11/2017,b1,Pitfall,62
30,1,WP2,op,WP2-0042,Marked,15/11/2017,e4,Pitfall,58
31,1,WP2,op,WP2-0042,Marked,16/11/2017,e4,Pitfall,58
32,1,WP2,op,WP2-0042,Marked,18/11/2017,e5,Pitfall,58
33,1,WP2,op,WP2-0043,Marked,15/11/2017,f5,Pitfall,44
34,1,WP2,wm,S1-WP2-16,Marked,16/11/2017,b3,Pitfall,58
35,1,WP2,wm,S1-WP2-17,Marked,16/11/2017,f2,Pitfall,65
36,1,WP2,wm,S1-WP2-18,Marked,19/11/2017,e3,Onduline,62
37,1,WP2,op,WP2-0303,Marked,20/11/2017,d6,Pitfall,69
38,1,WP3,wm,S1-WP3-8,Marked,11/11/2017,b4,Onduline,51
39,1,WP3,op,WP3-0032,Marked,12/11/2017,d1,Pitfall,62
40,1,WP3,op,WP3-0033,Marked,13/11/2017,b4,Pitfall,52
41,1,WP3,op,WP3-0033,Marked,15/11/2017,c3,Pitfall,52
42,1,WP3,op,WP3-0045,Marked,15/11/2017,d5,Pitfall,43
43,1,WP3,op,WP3-0304,Marked,20/11/2017,d4,Pitfall,50
44,1,MP1,op,MP1-0022,Marked,23/11/2017,e4,Pitfall,61
45,1,MP1,op,MP1-0023,Marked,25/11/2017,a5,Pitfall,49
46,1,MP1,op,MP1-0033,Marked,27/11/2017,a1,Pitfall,62
47,1,MP1,op,MP1-0033,Marked,29/11/2017,a1,Pitfall,
48,1,MP1,op,MP1-0033,Marked,1/12/2017,a1,Pitfall,
49,1,MP1,op,MP1-0013,Marked,1/12/2017,b1,Pitfall,62
50,1,MP2,op,MP2-0024,Marked,25/11/2017,c4,Pitfall,65
51,1,MP2,op,MP2-0024,Marked,28/11/2017,c4,Pitfall,
52,1,MP2,op,MP2-0024,Marked,29/11/2017,b4,Pitfall,
53,1,MP2,op,MP2-0024,Marked,1/12/2017,c5,Pitfall,
54,1,MP2,op,MP2-0050,Marked,25/11/2017,c4,Pitfall,58
55,1,MP2,op,MP2-0025,Marked,25/11/2017,c2,Pitfall,52
56,1,MP2,op,MP2-0025,Marked,1/12/2017,e1,Pitfall,
57,1,MP2,op,MP2-0032,Marked,25/11/2017,c2,Pitfall,55
58,1,MP2,op,MP2-0032,Marked,27/11/2017,a2,Pitfall,
59,1,MP2,op,MP2-0034f,Marked,27/11/2017,a3,Pitfall,61
60,1,MP2,op,MP2-1000,Marked,27/11/2017,b6,Pitfall,41
61,1,MP2,op,MP2-0035m,Marked,27/11/2017,c,Pitfall,51
62,1,RE1,op,RE1-0034,Marked,18/11/2017,a1,Onduline,64
63,1,MP2,op,MP2-0042,Marked,27/11/2017,f5,Onduline,58
64,1,RE1,op,RE1-0035,Marked,18/11/2017,b3,Pitfall,65
65,1,MP2,op,MP2-0043,Marked,28/11/2017,a1,Pitfall,62
66,1,RE1,op,RE1-0035,Marked,19/11/2017,b3,Pitfall,
67,1,MP2,op,MP2-0030m,Marked,28/11/2017,a1,Pitfall,61
68,1,RE1,op,RE1-0035,Marked,22/11/2017,b4,Pitfall,
69,1,MP2,op,MP2-0044,Marked,28/11/2017,a2,Pitfall,42
70,1,RE1,op,RE1-0035,Marked,23/11/2017,c4,Pitfall,
71,1,MP2,op,MP2-0045,Marked,29/11/2017,f3,Pitfall,53
72,1,RE1,op,RE1-0035,Marked,24/11/2017,b4,Pitfall,
73,1,MP2,op,MP2-3002,Marked,29/11/2017,c4,Pitfall,52
74,1,RE1,op,RE1-0035,Marked,27/11/2017,b3,Pitfall,
75,1,MP2,op,MP2-0052,Marked,30/11/2017,e3,Pitfall,53
76,1,RE1,op,RE1-0042,Marked,18/11/2017,b3,Pitfall,55
77,1,MP2,op,MP2-0052,Marked,1/12/2017,e5,Pitfall,
78,1,RE1,oa,RE1-0043,Marked,18/11/2017,b3,Pitfall,52
79,1,MP2,op,MP2-0054,Marked,1/12/2017,,,59
80,1,RE1,oa,RE1-0043,Marked,19/11/2017,b3,Pitfall,
81,1,MP2,op,MP2-0053,Marked,1/12/2017,a3,Pitfall,58
82,1,RE1,oa,RE1-0044,Marked,18/11/2017,d1,Pitfall,35
83,1,MP2,op,MP2-0055,Marked,1/12/2017,a3,Pitfall,52
