Grid,Season,date,Nsessions,Start_date,End_date
MP1,1,5/12/2017,11,11/11/2017,30/12/2017
MP1,2,23/01/2018,8,5/01/2018,10/02/2018
MP1,3,27/03/2018,12,5/03/2018,19/04/2018
MP1,4,7/12/2018,12,13/11/2018,1/01/2019
MP1,5,25/10/2019,8,12/10/2019,8/11/2019
MP1,6,2/03/2020,6,29/02/2020,5/03/2020
MP1,7,1/12/2020,5,29/11/2020,3/12/2020
MP1,8,25/03/2021,5,23/03/2021,27/03/2021
MP2,1,5/12/2017,10,11/11/2017,30/12/2017
MP2,2,23/01/2018,9,5/01/2018,10/02/2018
MP2,3,27/03/2018,10,5/03/2018,19/04/2018
MP2,4,7/12/2018,10,13/11/2018,1/01/2019
MP2,5,25/10/2019,8,12/10/2019,8/11/2019
MP2,6,2/03/2020,6,29/02/2020,5/03/2020
MP2,7,1/12/2020,5,29/11/2020,3/12/2020
MP2,8,25/03/2021,5,23/03/2021,27/03/2021
WP2,1,5/12/2017,8,11/11/2017,30/12/2017
WP2,2,23/01/2018,8,5/01/2018,10/02/2018
WP2,3,27/03/2018,10,5/03/2018,19/04/2018
WP2,4,7/12/2018,10,13/11/2018,1/01/2019
WP2,5,25/10/2019,8,12/10/2019,8/11/2019
WP2,6,2/03/2020,6,29/02/2020,5/03/2020
WP2,7,1/12/2020,5,29/11/2020,3/12/2020
WP2,8,25/03/2021,5,23/03/2021,27/03/2021
WP3,1,5/12/2017,10,11/11/2017,30/12/2017
WP3,2,23/01/2018,9,5/01/2018,10/02/2018
WP3,3,27/03/2018,10,5/03/2018,19/04/2018
WP3,4,7/12/2018,10,13/11/2018,1/01/2019
WP3,5,25/10/2019,8,12/10/2019,8/11/2019
WP3,6,2/03/2020,6,29/02/2020,5/03/2020
WP3,7,1/12/2020,5,29/11/2020,3/12/2020
WP3,8,25/03/2021,5,23/03/2021,27/03/2021
RE1,1,5/12/2017,9,11/11/2017,30/12/2017
RE1,2,23/01/2018,8,5/01/2018,10/02/2018
RE1,3,27/03/2018,9,5/03/2018,19/04/2018
RE1,4,7/12/2018,11,13/11/2018,1/01/2019
RE1,5,25/10/2019,8,12/10/2019,8/11/2019
RE1,6,2/03/2020,6,29/02/2020,5/03/2020
RE1,7,1/12/2020,5,29/11/2020,3/12/2020
RE1,8,25/03/2021,5,23/03/2021,27/03/2021
RE2,1,5/12/2017,8,11/11/2017,30/12/2017
RE2,2,23/01/2018,8,5/01/2018,10/02/2018
RE2,3,27/03/2018,8,5/03/2018,19/04/2018
RE2,4,7/12/2018,10,13/11/2018,1/01/2019
RE2,5,25/10/2019,8,12/10/2019,8/11/2019
RE2,6,2/03/2020,6,29/02/2020,5/03/2020
RE2,7,1/12/2020,5,29/11/2020,3/12/2020
RE2,8,25/03/2021,5,23/03/2021,27/03/2021
