"","Grid","Species","Season","n","date","Nsessions","Start_date","End_date","Date","n/Nsessions","Site","Inundated","Labels"
"1","RE1","oa",1,19,"5/12/2017",9,"11/11/2017","30/12/2017",2017-12-05,2.11111111111111,"RE","Not affected","RE1: Not affected"
"2","RE1","oa",2,2,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.25,"RE","Not affected","RE1: Not affected"
"3","RE1","oa",3,1,"27/03/2018",9,"5/03/2018","19/04/2018",2018-03-27,0.111111111111111,"RE","Not affected","RE1: Not affected"
"4","RE1","oa",4,16,"7/12/2018",11,"13/11/2018","1/01/2019",2018-12-07,1.45454545454545,"RE","Not affected","RE1: Not affected"
"5","RE1","oa",5,12,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,1.5,"RE","Not affected","RE1: Not affected"
"6","RE1","oa",6,9,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.5,"RE","Not affected","RE1: Not affected"
"7","RE1","oa",7,9,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,1.8,"RE","Not affected","RE1: Not affected"
"8","RE1","oa",8,7,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,1.4,"RE","Not affected","RE1: Not affected"
"9","RE2","oa",1,18,"5/12/2017",8,"11/11/2017","30/12/2017",2017-12-05,2.25,"RE","Not affected","RE2: Not affected"
"10","RE2","oa",2,7,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.875,"RE","Not affected","RE2: Not affected"
"11","RE2","oa",3,5,"27/03/2018",8,"5/03/2018","19/04/2018",2018-03-27,0.625,"RE","Not affected","RE2: Not affected"
"12","RE2","oa",4,22,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,2.2,"RE","Not affected","RE2: Not affected"
"13","RE2","oa",5,17,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,2.125,"RE","Not affected","RE2: Not affected"
"14","RE2","oa",6,12,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,2,"RE","Not affected","RE2: Not affected"
"15","RE2","oa",7,14,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,2.8,"RE","Not affected","RE2: Not affected"
"16","RE2","oa",8,11,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,2.2,"RE","Not affected","RE2: Not affected"
"17","MP1","op",1,4,"5/12/2017",11,"11/11/2017","30/12/2017",2017-12-05,0.363636363636364,"MP","Inundated","MP1: Inundated"
"18","MP1","op",2,3,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.375,"MP","Inundated","MP1: Inundated"
"19","MP1","op",3,3,"27/03/2018",12,"5/03/2018","19/04/2018",2018-03-27,0.25,"MP","Inundated","MP1: Inundated"
"20","MP1","op",4,3,"7/12/2018",12,"13/11/2018","1/01/2019",2018-12-07,0.25,"MP","Inundated","MP1: Inundated"
"21","MP1","op",5,5,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,0.625,"MP","Inundated","MP1: Inundated"
"22","MP1","op",6,5,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,0.833333333333333,"MP","Inundated","MP1: Inundated"
"23","MP1","op",7,4,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,0.8,"MP","Inundated","MP1: Inundated"
"24","MP1","op",8,5,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,1,"MP","Inundated","MP1: Inundated"
"25","MP2","op",1,18,"5/12/2017",10,"11/11/2017","30/12/2017",2017-12-05,1.8,"MP","Not affected","MP2: Not affected"
"26","MP2","op",2,12,"23/01/2018",9,"5/01/2018","10/02/2018",2018-01-23,1.33333333333333,"MP","Not affected","MP2: Not affected"
"27","MP2","op",3,7,"27/03/2018",10,"5/03/2018","19/04/2018",2018-03-27,0.7,"MP","Not affected","MP2: Not affected"
"28","MP2","op",4,7,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,0.7,"MP","Not affected","MP2: Not affected"
"29","MP2","op",5,15,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,1.875,"MP","Not affected","MP2: Not affected"
"30","MP2","op",6,9,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.5,"MP","Not affected","MP2: Not affected"
"31","MP2","op",7,12,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,2.4,"MP","Not affected","MP2: Not affected"
"32","MP2","op",8,20,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,4,"MP","Not affected","MP2: Not affected"
"33","RE1","op",1,25,"5/12/2017",9,"11/11/2017","30/12/2017",2017-12-05,2.77777777777778,"RE","Not affected","RE1: Not affected"
"34","RE1","op",2,15,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,1.875,"RE","Not affected","RE1: Not affected"
"35","RE1","op",3,8,"27/03/2018",9,"5/03/2018","19/04/2018",2018-03-27,0.888888888888889,"RE","Not affected","RE1: Not affected"
"36","RE1","op",4,29,"7/12/2018",11,"13/11/2018","1/01/2019",2018-12-07,2.63636363636364,"RE","Not affected","RE1: Not affected"
"37","RE1","op",5,18,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,2.25,"RE","Not affected","RE1: Not affected"
"38","RE1","op",6,9,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.5,"RE","Not affected","RE1: Not affected"
"39","RE1","op",7,23,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,4.6,"RE","Not affected","RE1: Not affected"
