"","uID","Season","Grid","Species","ID","Capture_type","Date_capture","Station","Trap_type","SVL_mm","Site","inundated","BA","Season.centred"
"1",1,2017.92602739726,"WP2","wm","S1-WP2-1","Marked","11/11/2017","b3","Onduline",58,"WP",0,0,-2.98927314918797
"3",3,2017.92602739726,"WP2","wm","S1-WP2-3","Marked","11/11/2017","b3","Onduline",62,"WP",0,0,-2.98927314918797
"4",4,2017.92602739726,"WP2","wm","S1-WP2-4","Marked","11/11/2017","c1","Onduline",67,"WP",0,0,-2.98927314918797
"5",5,2017.92602739726,"WP2","wm","S1-WP2-5","Marked","11/11/2017","e5","Onduline",53,"WP",0,0,-2.98927314918797
"8",8,2017.92602739726,"WP2","wm","S1-WP2-6","Marked","11/11/2017","e3","Onduline",58,"WP",0,0,-2.98927314918797
"9",9,2017.92602739726,"WP2","wm","S1-WP2-14","Marked","11/11/2017","e3","Onduline",61,"WP",0,0,-2.98927314918797
"10",10,2017.92602739726,"WP2","wm","S1-WP2-7","Marked","11/11/2017","e3","Onduline",58,"WP",0,0,-2.98927314918797
"12",12,2017.92602739726,"WP2","wm","S1-WP2-13","Marked","11/11/2017","e3","Onduline",62,"WP",0,0,-2.98927314918797
"14",14,2017.92602739726,"WP2","op","WP2-0022","Marked","12/11/2017","b1","Pitfall",62,"WP",0,0,-2.98927314918797
"15",15,2017.92602739726,"WP2","op","WP2-0023","Marked","12/11/2017","c6","Pitfall",58,"WP",0,0,-2.98927314918797
"17",17,2017.92602739726,"WP2","op","WP2-0024","Marked","12/11/2017","e4","Pitfall",59,"WP",0,0,-2.98927314918797
"18",18,2017.92602739726,"WP2","op","WP2-0004","Marked","12/11/2017","f3","Pitfall",63,"WP",0,0,-2.98927314918797
"19",19,2017.92602739726,"WP2","op","WP2-0025","Marked","12/11/2017","e5","Pitfall",47,"WP",0,0,-2.98927314918797
"20",20,2017.92602739726,"WP2","wm","S1-WP2-9","Marked","13/11/2017","a3","Onduline",61,"WP",0,0,-2.98927314918797
"21",21,2017.92602739726,"WP2","wm","S1-WP2-10","Marked","13/11/2017","d2","Onduline",58,"WP",0,0,-2.98927314918797
"22",22,2017.92602739726,"WP2","wm","S1-WP2-11","Marked","13/11/2017","d4","Onduline",65,"WP",0,0,-2.98927314918797
"23",23,2017.92602739726,"WP2","wm","S1-WP2-12","Marked","13/11/2017","d6","Onduline",63,"WP",0,0,-2.98927314918797
"25",25,2017.92602739726,"WP2","op","WP2-0044","Marked","18/11/2017","a6","Onduline",61,"WP",0,0,-2.98927314918797
"26",26,2017.92602739726,"WP2","op","WP2-0044","Marked","15/11/2017","a6","Pitfall",61,"WP",0,0,-2.98927314918797
"27",27,2017.92602739726,"WP2","op","WP2-0034","Marked","15/11/2017","a2","Pitfall",54,"WP",0,0,-2.98927314918797
"28",28,2017.92602739726,"WP2","op","WP2-0035","Marked","15/11/2017","b1","Pitfall",62,"WP",0,0,-2.98927314918797
"29",29,2017.92602739726,"WP2","op","WP2-0035","Marked","16/11/2017","b1","Pitfall",62,"WP",0,0,-2.98927314918797
"30",30,2017.92602739726,"WP2","op","WP2-0042","Marked","15/11/2017","e4","Pitfall",58,"WP",0,0,-2.98927314918797
"31",31,2017.92602739726,"WP2","op","WP2-0042","Marked","16/11/2017","e4","Pitfall",58,"WP",0,0,-2.98927314918797
"32",32,2017.92602739726,"WP2","op","WP2-0042","Marked","18/11/2017","e5","Pitfall",58,"WP",0,0,-2.98927314918797
"33",33,2017.92602739726,"WP2","op","WP2-0043","Marked","15/11/2017","f5","Pitfall",44,"WP",0,0,-2.98927314918797
"34",34,2017.92602739726,"WP2","wm","S1-WP2-16","Marked","16/11/2017","b3","Pitfall",58,"WP",0,0,-2.98927314918797
"35",35,2017.92602739726,"WP2","wm","S1-WP2-17","Marked","16/11/2017","f2","Pitfall",65,"WP",0,0,-2.98927314918797
"36",36,2017.92602739726,"WP2","wm","S1-WP2-18","Marked","19/11/2017","e3","Onduline",62,"WP",0,0,-2.98927314918797
"37",37,2017.92602739726,"WP2","op","WP2-0303","Marked","20/11/2017","d6","Pitfall",69,"WP",0,0,-2.98927314918797
"38",38,2017.92602739726,"WP3","wm","S1-WP3-8","Marked","11/11/2017","b4","Onduline",51,"WP",1,0,-2.98927314918797
"39",39,2017.92602739726,"WP3","op","WP3-0032","Marked","12/11/2017","d1","Pitfall",62,"WP",1,0,-2.98927314918797
"40",40,2017.92602739726,"WP3","op","WP3-0033","Marked","13/11/2017","b4","Pitfall",52,"WP",1,0,-2.98927314918797
"41",41,2017.92602739726,"WP3","op","WP3-0033","Marked","15/11/2017","c3","Pitfall",52,"WP",1,0,-2.98927314918797
"42",42,2017.92602739726,"WP3","op","WP3-0045","Marked","15/11/2017","d5","Pitfall",43,"WP",1,0,-2.98927314918797
"43",43,2017.92602739726,"WP3","op","WP3-0304","Marked","20/11/2017","d4","Pitfall",50,"WP",1,0,-2.98927314918797
"44",44,2017.92602739726,"MP1","op","MP1-0022","Marked","23/11/2017","e4","Pitfall",61,"MP",1,0,-2.98927314918797
"45",45,2017.92602739726,"MP1","op","MP1-0023","Marked","25/11/2017","a5","Pitfall",49,"MP",1,0,-2.98927314918797
"46",46,2017.92602739726,"MP1","op","MP1-0033","Marked","27/11/2017","a1","Pitfall",62,"MP",1,0,-2.98927314918797
"49",49,2017.92602739726,"MP1","op","MP1-0013","Marked","1/12/2017","b1","Pitfall",62,"MP",1,0,-2.98927314918797
"50",50,2017.92602739726,"MP2","op","MP2-0024","Marked","25/11/2017","c4","Pitfall",65,"MP",0,0,-2.98927314918797
